School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Tantasqua-Tantasqua Regional Vocational,07700605,94.2,6.3,21.7,19.0,0.0,2019-20,NA,0770,Tantasqua,Tantasqua Regional Vocational,Worcester,542,542,Yes,0%,Include
Tantasqua-Tantasqua Regional Sr High,07700505,94.7,5.7,16.1,14.2,0.1,2019-20,NA,0770,Tantasqua,Tantasqua Regional Sr High,Worcester,632,625,Yes,0%,Include
Uxbridge-Uxbridge High,03040505,94.2,6.2,18.7,16.7,7.3,2019-20,NA,0304,Uxbridge,Uxbridge High,Worcester,590,582,Yes,0%,Include
Uxbridge-Gateway to College,03040515,100.0,0.0,0.0,0.0,0.0,2019-20,NA,0304,Uxbridge,Gateway to College,Worcester,44,44,Yes,0%,Include
Veritas Preparatory Charter School (District)-Veritas Preparatory Charter School,04980405,94.2,6.3,20.7,15.2,11.8,2019-20,NA,0498,Veritas Preparatory Charter School (District),Veritas Preparatory Charter School,Hampden,712,495,Yes,30%,Include
Wachusett-Mountview Middle,07750305,96.2,4.1,8.2,6.4,0.0,2019-20,NA,0775,Wachusett,Mountview Middle,Worcester,773,504,Yes,35%,Include
Wachusett-Chocksett Middle School,07750315,96.0,4.3,11.2,7.9,0.0,2019-20,NA,0775,Wachusett,Chocksett Middle School,Worcester,264,127,Yes,52%,Include
Wachusett-Wachusett Regional High,07750505,96.0,4.4,10.4,8.2,0.0,2019-20,NA,0775,Wachusett,Wachusett Regional High,Worcester,1779,1760,Yes,0%,Include
Wachusett-Central Tree Middle,07750310,95.4,5.0,12.1,8.2,0.0,2019-20,NA,0775,Wachusett,Central Tree Middle,Worcester,369,249,Yes,33%,Include
Ware-Ware Junior/Senior High School,03090505,93.9,6.6,20.0,15.8,8.8,2019-20,NA,0309,Ware,Ware Junior/Senior High School,Hampshire,425,416,Yes,0%,Include
Webster-Webster Middle School,03160315,93.4,7.1,24.0,21.8,0.0,2019-20,NA,0316,Webster,Webster Middle School,Worcester,566,293,Yes,48%,Include
Webster-Bartlett High School,03160505,90.5,9.9,35.5,34.1,0.0,2019-20,NA,0316,Webster,Bartlett High School,Worcester,408,404,Yes,0%,Include
West Boylston-West Boylston Junior/Senior High,03220505,95.2,5.3,13.3,11.7,12.3,2019-20,NA,0322,West Boylston,West Boylston Junior/Senior High,Worcester,461,382,Yes,17%,Include
West Springfield-West Springfield Middle,03320305,95.8,4.6,12.3,10.6,0.0,2019-20,NA,0332,West Springfield,West Springfield Middle,Hampden,909,612,Yes,33%,Include
