School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,97.3,4.8,15.0,2.3,15.0,2017-18,NA,0445,Abby Kelley Foster Charter Public (District),Abby Kelley Foster Charter Public School,Worcester,1426,540,Yes,62%,Include
Adams-Cheshire-Hoosac Valley High School,06030505,93.6,10.7,35.6,17.7,28.7,2017-18,NA,0603,Hoosac Valley Regional,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
Agawam-Agawam High,00050505,95.0,8.6,33.7,10.3,17.2,2017-18,NA,0005,Agawam,Agawam High,Hampden,1025,1016,Yes,0%,Include
Agawam-Agawam Junior High,00050405,94.7,9.3,39.4,12.3,28.3,2017-18,NA,0005,Agawam,Agawam Junior High,Hampden,527,527,Yes,0%,Include
Amherst-Pelham-Amherst Regional Middle School,06050405,95.0,8.7,33.4,12.9,12.2,2017-18,NA,0605,Amherst-Pelham,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
Amherst-Pelham-Amherst Regional High,06050505,93.5,11.4,38.7,17.7,10.5,2017-18,NA,0605,Amherst-Pelham,Amherst Regional High,Hampshire,816,810,Yes,0%,Include
Ashburnham-Westminster-Oakmont Regional High School,06100505,96.2,6.6,18.7,4.1,17.7,2017-18,NA,0610,Ashburnham-Westminster,Oakmont Regional High School,Worcester,633,629,Yes,0%,Include
Ashburnham-Westminster-Overlook Middle School,06100305,95.9,7.3,26.4,7.6,20.7,2017-18,NA,0610,Ashburnham-Westminster,Overlook Middle School,Worcester,576,360,Yes,38%,Include
Athol-Royalston-Athol High,06150505,90.5,16.1,57.6,32.2,41.8,2017-18,NA,0615,Athol-Royalston,Athol High,Worcester,417,413,Yes,0%,Include
Athol-Royalston-Athol-Royalston Middle School,06150305,93.2,11.8,42.8,23.1,31.7,2017-18,NA,0615,Athol-Royalston,Athol-Royalston Middle School,Worcester,446,243,Yes,46%,Include
Auburn-Auburn Senior High,00170505,94.3,9.7,37.8,14.5,19.7,2017-18,NA,0017,Auburn,Auburn Senior High,Worcester,834,727,Yes,12%,Include
Auburn-Auburn Middle,00170305,95.7,7.6,26.1,8.0,16.4,2017-18,NA,0017,Auburn,Auburn Middle,Worcester,628,420,Yes,33%,Include
Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,93.7,11.1,45.9,16.2,9.8,2017-18,NA,3502,Baystate Academy Charter Public School (District),Baystate Academy Charter Public School,Hampden,388,317,Yes,18%,Include
Belchertown-Jabish Middle School,00240025,95.0,8.8,33.3,9.5,19.5,2017-18,NA,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,93.8,10.6,39.4,15.9,25.9,2017-18,NA,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,94.2,10.0,37.7,17.8,24.0,2017-18,NA,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-Monument Mt Regional High,06180505,88.4,20.1,65.7,41.0,18.7,2017-18,NA,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berkshire Hills-Monument Valley Regional Middle School,06180310,93.9,10.8,41.1,17.4,2.4,2017-18,NA,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berlin-Boylston-Tahanto Regional High,06200505,95.4,8.2,27.1,6.9,0.0,2017-18,NA,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,96.2,7.1,24.3,4.5,7.0,2017-18,NA,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,94.6,9.3,32.5,12.4,16.3,2017-18,NA,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Wahconah Regional High,06350505,95.0,8.8,30.0,11.0,0.0,2017-18,NA,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,95.8,7.4,25.8,9.3,0.0,2017-18,NA,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Chicopee-Chicopee High,00610505,92.7,12.2,44.1,24.0,37.4,2017-18,NA,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Chicopee-Dupont Middle,00610310,93.5,11.1,46.3,20.2,36.1,2017-18,NA,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Chicopee-Bellamy Middle,00610305,94.6,9.2,38.4,11.2,26.0,2017-18,NA,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Chicopee-Chicopee Academy,00610021,70.3,42.6,89.2,81.9,81.9,2017-18,NA,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Chicopee Comprehensive High School,00610510,94.4,9.6,33.9,15.0,24.2,2017-18,NA,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
Clinton-Clinton Middle School,00640305,95.1,8.6,34.2,11.9,0.0,2017-18,NA,0064,Clinton,Clinton Middle School,Worcester,573,274,Yes,52%,Include
Clinton-Clinton Senior High,00640505,93.7,10.6,46.8,20.4,0.2,2017-18,NA,0064,Clinton,Clinton Senior High,Worcester,582,558,Yes,4%,Include
Douglas-Douglas Middle School,00770305,95.4,8.1,31.3,9.7,19.6,2017-18,NA,0077,Douglas,Douglas Middle School,Worcester,284,193,Yes,32%,Include
Douglas-Douglas High School,00770505,94.4,9.8,38.6,13.0,17.9,2017-18,NA,0077,Douglas,Douglas High School,Worcester,267,264,Yes,0%,Include
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,95.2,8.3,28.0,10.9,17.9,2017-18,NA,0658,Dudley-Charlton Reg,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
Dudley-Charlton Reg-Dudley Middle School,06580305,96.6,6.0,19.6,3.7,10.5,2017-18,NA,0658,Dudley-Charlton Reg,Dudley Middle School,Worcester,540,285,Yes,47%,Include
Dudley-Charlton Reg-Charlton Middle School,06580310,96.3,6.5,21.2,5.3,12.0,2017-18,NA,0658,Dudley-Charlton Reg,Charlton Middle School,Worcester,631,316,Yes,50%,Include
East Longmeadow-East Longmeadow High,00870505,94.3,10.1,35.8,13.2,0.0,2017-18,NA,0087,East Longmeadow,East Longmeadow High,Hampden,753,750,Yes,0%,Include
East Longmeadow-Birchland Park,00870305,96.2,6.7,21.9,5.8,0.0,2017-18,NA,0087,East Longmeadow,Birchland Park,Hampden,590,403,Yes,32%,Include
Easthampton-Easthampton High,00860505,93.0,12.3,43.4,16.8,12.8,2017-18,NA,0086,Easthampton,Easthampton High,Hampshire,377,377,Yes,0%,Include
Fitchburg-Memorial Intermediate,00970048,93.3,11.3,46.8,21.8,27.5,2017-18,NA,0097,Fitchburg,Memorial Middle School,Worcester,601,370,Yes,38%,Include
Fitchburg-Arthur M Longsjo Middle School,00970315,92.3,12.8,49.4,28.0,32.0,2017-18,NA,0097,Fitchburg,Arthur M Longsjo Middle School,Worcester,614,394,Yes,36%,Include
Fitchburg-Fitchburg High,00970505,91.1,14.4,53.2,33.4,42.9,2017-18,NA,0097,Fitchburg,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
Fitchburg-Goodrich Academy,00970510,92.9,8.1,31.9,25.0,25.8,2017-18,NA,0097,Fitchburg,Goodrich Academy,Worcester,186,160,Yes,0%,Include
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,92.9,12.6,52.2,21.0,0.0,2017-18,NA,0413,Four Rivers Charter Public (District),Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,93.7,10.8,48.9,20.5,8.1,2017-18,NA,0818,Franklin County Regional Vocational Technical,Franklin County Technical,Franklin,643,643,Yes,0%,Include
Frontier-Frontier Regional,06700505,94.2,10.3,40.6,13.3,1.8,2017-18,NA,0670,Frontier,Frontier Regional,Franklin,588,582,Yes,0%,Include
Gardner-Gardner Academy for Learning and Technology,01030515,79.0,33.6,86.1,69.4,80.6,2017-18,NA,0103,Gardner,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
Gardner-Gardner High,01030505,92.9,11.8,44.5,22.7,36.6,2017-18,NA,0103,Gardner,Gardner High,Worcester,808,804,Yes,0%,Include
Gateway-Gateway Regional High,06720505,94.1,10.0,37.4,13.6,24.3,2017-18,NA,0672,Gateway,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
Gill-Montague-Great Falls Middle,06740310,93.3,11.6,37.0,17.7,18.5,2017-18,NA,0674,Gill-Montague,Great Falls Middle,Franklin,228,169,Yes,26%,Include
Gill-Montague-Turners Fall High,06740505,92.0,13.9,39.6,22.9,23.8,2017-18,NA,0674,Gill-Montague,Turners Fall High,Franklin,199,197,Yes,0%,Include
Grafton-Grafton High School,01100505,94.6,9.2,30.5,13.2,14.4,2017-18,NA,0110,Grafton,Grafton High School,Worcester,914,899,Yes,0%,Include
Grafton-Grafton Middle,01100305,95.8,7.5,25.5,4.9,14.4,2017-18,NA,0110,Grafton,Grafton Middle,Worcester,478,478,Yes,0%,Include
Granby-Granby Jr Sr High School,01110505,95.7,7.6,30.3,8.1,19.9,2017-18,NA,0111,Granby,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
Greenfield-Greenfield High,01140505,92.7,12.3,44.4,23.3,39.1,2017-18,NA,0114,Greenfield,Greenfield High,Franklin,404,394,Yes,0%,Include
Hadley-Hopkins Academy,01170505,95.4,8.0,29.4,8.6,0.0,2017-18,NA,0117,Hadley,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,96.1,7.0,22.8,6.8,1.6,2017-18,NA,0499,Hampden Charter School of Science (District),Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
Hampden-Wilbraham-Minnechaug Regional High,06800505,95.5,8.0,29.7,7.7,0.0,2017-18,NA,0680,Hampden-Wilbraham,Minnechaug Regional High,Hampden,990,983,Yes,0%,Include
Hampden-Wilbraham-Wilbraham Middle,06800310,95.5,8.1,29.7,8.3,0.0,2017-18,NA,0680,Hampden-Wilbraham,Wilbraham Middle,Hampden,613,413,Yes,33%,Include
Hampshire-Hampshire Regional High,06830505,93.6,11.3,47.7,19.6,0.1,2017-18,NA,0683,Hampshire,Hampshire Regional High,Hampshire,718,716,Yes,0%,Include
Harvard-Bromfield,01250505,95.0,8.9,31.6,9.9,7.0,2017-18,NA,0125,Harvard,The Bromfield High School,Worcester,328,328,Yes,0%,Include
Hatfield-Smith Academy,01270505,96.2,6.7,21.1,4.7,0.0,2017-18,NA,0127,Hatfield,Smith Academy,Hampshire,109,109,Yes,0%,Include
Holyoke-Joseph Metcalf School,01370003,93.4,11.1,53.3,21.1,34.9,2017-18,NA,0137,Holyoke,Joseph Metcalf School,Hampden,213,140,Yes,34%,Include
Holyoke-Lt Clayre Sullivan Elementary,01370055,93.7,10.7,44.8,16.9,26.9,2017-18,NA,0137,Holyoke,Lt Clayre Sullivan Elementary,Hampden,463,314,Yes,32%,Include
Holyoke-Holyoke High,01370505,89.1,17.6,53.1,32.9,43.3,2017-18,NA,0137,Holyoke,Holyoke High,Hampden,1569,1569,Yes,0%,Include
Hopedale-Hopedale Jr Sr High,01380505,95.5,8.0,25.2,9.1,15.7,2017-18,NA,0138,Hopedale,Hopedale Jr Sr High,Worcester,456,453,Yes,0%,Include
Lee-Lee Middle/High School,01500505,94.7,9.2,30.4,16.6,5.2,2017-18,NA,0150,Lee,Lee Middle/High School,Berkshire,328,327,Yes,0%,Include
Leicester-Leicester Middle,01510015,95.8,7.3,30.5,7.6,25.7,2017-18,NA,0151,Leicester,Leicester Middle,Worcester,394,204,Yes,48%,Include
Leicester-Leicester High,01510505,93.7,10.6,39.8,18.0,35.4,2017-18,NA,0151,Leicester,Leicester High,Worcester,388,384,Yes,0%,Include
Lenox-Lenox Memorial High,01520505,95.4,8.0,29.1,7.8,3.8,2017-18,NA,0152,Lenox,Lenox Memorial High,Berkshire,439,371,Yes,15%,Include
Leominster-Samoset School,01530045,94.6,9.4,36.9,14.3,25.7,2017-18,NA,0153,Leominster,Samoset School,Worcester,495,320,Yes,35%,Include
Leominster-Sky View Middle School,01530320,95.0,8.7,34.3,14.2,29.3,2017-18,NA,0153,Leominster,Sky View Middle School,Worcester,869,565,Yes,35%,Include
Leominster-Center For Technical Education Innovation,01530605,93.9,10.6,46.9,18.4,39.7,2017-18,NA,0153,Leominster,Center For Technical Education Innovation,Worcester,821,811,Yes,0%,Include
Leominster-Leominster High School,01530505,92.8,12.1,50.6,24.7,41.4,2017-18,NA,0153,Leominster,Leominster High School,Worcester,1060,1055,Yes,0%,Include
Leominster-Leominster Center for Excellence,01530515,85.2,24.1,65.4,46.2,59.6,2017-18,NA,0153,Leominster,Leominster Center for Excellence,Worcester,65,65,Yes,0%,Include
Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,92.9,11.9,42.1,15.8,34.7,2017-18,NA,3514,Libertas Academy Charter School (District),Libertas Academy Charter School,Hampden,563,470,Yes,17%,Include
Longmeadow-Longmeadow High,01590505,96.3,6.4,21.5,6.4,0.2,2017-18,NA,0159,Longmeadow,Longmeadow High,Hampden,897,897,Yes,0%,Include
Longmeadow-Williams Middle,01590305,95.4,8.2,32.2,9.6,0.0,2017-18,NA,0159,Longmeadow,Williams Middle,Hampden,337,219,Yes,35%,Include
Longmeadow-Glenbrook Middle,01590017,96.4,6.5,24.1,3.8,0.0,2017-18,NA,0159,Longmeadow,Glenbrook Middle,Hampden,327,221,Yes,32%,Include
Ludlow-Ludlow Senior High,01610505,93.9,10.5,41.7,12.5,32.0,2017-18,NA,0161,Ludlow,Ludlow Senior High,Hampden,736,732,Yes,0%,Include
Ludlow-Paul R Baird Middle,01610305,95.2,8.6,34.0,10.1,23.1,2017-18,NA,0161,Ludlow,Paul R Baird Middle,Hampden,513,362,Yes,29%,Include
Lunenburg-Lunenburg High,01620505,95.8,7.4,29.6,7.0,1.3,2017-18,NA,0162,Lunenburg,Lunenburg High,Worcester,452,452,Yes,0%,Include
Lunenburg-Lunenburg Middle School,01620305,95.9,7.3,27.9,6.5,1.4,2017-18,NA,0162,Lunenburg,Lunenburg Middle School,Worcester,382,229,Yes,40%,Include
Ma Academy for Math and Science-Ma Academy for Math and Science School,04680505,99.1,1.6,2.1,1.0,2.1,2017-18,NA,0468,Ma Academy for Math and Science,Ma Academy for Math and Science School,Worcester,99,99,Yes,0%,Include
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District-Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,91.1,12.9,42.7,34.4,36.5,2017-18,NA,3901,Greater Commonwealth Virtual District,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
Mendon-Upton-Miscoe Hill School,07100015,96.3,6.6,21.4,4.6,14.2,2017-18,NA,0710,Mendon-Upton,Miscoe Hill School,Worcester,647,306,Yes,53%,Include
Mendon-Upton-Nipmuc Regional High,07100510,93.9,10.6,36.8,14.4,22.9,2017-18,NA,0710,Mendon-Upton,Nipmuc Regional High,Worcester,534,528,Yes,0%,Include
Milford-Stacy Middle,01850305,95.1,8.5,29.0,10.9,21.1,2017-18,NA,0185,Milford,Stacy Middle,Worcester,989,664,Yes,33%,Include
Milford-Milford High,01850505,93.2,11.5,38.3,21.5,28.7,2017-18,NA,0185,Milford,Milford High,Worcester,1316,1316,Yes,0%,Include
Millbury-Millbury Junior/Senior High,01860505,95.5,8.0,25.3,7.2,8.5,2017-18,NA,0186,Millbury,Millbury Junior/Senior High,Worcester,722,717,Yes,0%,Include
Mohawk Trail-Mohawk Trail Regional High,07170505,93.4,11.5,37.9,15.3,9.2,2017-18,NA,0717,Mohawk Trail,Mohawk Trail Regional School,Franklin,316,316,Yes,0%,Include
Monson-Monson High School,01910505,94.8,8.8,28.3,9.4,17.7,2017-18,NA,0191,Monson,Monson High School,Hampden,280,273,Yes,0%,Include
Montachusett Regional Vocational Technical-Montachusett Regional Vocational Technical,08320605,95.3,8.1,29.5,10.8,14.8,2017-18,NA,0832,Montachusett Regional Vocational Technical,Montachusett Regional Vocational Technical,Worcester,1417,1417,Yes,0%,Include
Mount Greylock-Mt Greylock Regional High,07150505,94.8,9.2,36.7,12.6,9.4,2017-18,NA,0715,Mount Greylock,Mt Greylock Regional High,Berkshire,539,537,Yes,0%,Include
Narragansett-Narragansett Regional High,07200505,95.0,8.6,34.8,9.8,17.5,2017-18,NA,0720,Narragansett,Narragansett Regional High,Worcester,492,489,Yes,0%,Include
Nashoba-Luther Burbank Middle School,07250305,95.8,7.4,24.6,9.1,0.0,2017-18,NA,0725,Nashoba,Luther Burbank Middle School,Worcester,245,173,Yes,29%,Include
Nashoba-Nashoba Regional,07250505,94.8,9.2,32.6,10.8,0.0,2017-18,NA,0725,Nashoba,Nashoba Regional,Worcester,806,799,Yes,0%,Include
Nashoba-Hale,07250310,96.3,6.7,21.7,3.3,0.0,2017-18,NA,0725,Nashoba,Hale,Worcester,247,154,Yes,38%,Include
North Adams-Drury High,02090505,92.6,12.7,43.3,23.1,24.6,2017-18,NA,0209,North Adams,Drury High,Berkshire,438,432,Yes,0%,Include
North Brookfield-North Brookfield High,02150505,94.7,9.0,33.5,13.1,33.5,2017-18,NA,0215,North Brookfield,North Brookfield High,Worcester,157,123,Yes,22%,Include
Northampton-Northampton High,02100505,94.2,10.2,34.7,15.1,25.4,2017-18,NA,0210,Northampton,Northampton High,Hampshire,875,869,Yes,0%,Include
Northampton-John F Kennedy Middle School,02100410,95.1,8.7,32.8,12.1,26.2,2017-18,NA,0210,Northampton,John F Kennedy Middle School,Hampshire,577,400,Yes,31%,Include
Northampton-Smith Vocational Agricultural-Smith Vocational and Agricultural High,04060705,93.9,10.6,42.5,15.6,23.6,2017-18,NA,0406,Northampton-Smith Vocational Agricultural,Smith Vocational and Agricultural High,Hampshire,587,587,Yes,0%,Include
Northboro-Southboro-Algonquin Regional High,07300505,94.9,9.0,31.0,11.3,2.8,2017-18,NA,0730,Northboro-Southboro,Algonquin Regional High,Worcester,1197,1181,Yes,0%,Include
Northborough-Robert E. Melican Middle School,02130305,95.9,7.3,26.4,7.7,2.5,2017-18,NA,0213,Northborough,Robert E. Melican Middle School,Worcester,545,360,Yes,34%,Include
Northbridge-Northbridge Middle,02140305,95.1,8.6,28.0,11.9,18.8,2017-18,NA,0214,Northbridge,Northbridge Middle,Worcester,394,274,Yes,30%,Include
Northbridge-Northbridge High,02140505,92.9,12.0,42.0,21.4,29.2,2017-18,NA,0214,Northbridge,Northbridge High,Worcester,471,467,Yes,0%,Include
Northern Berkshire Regional Vocational Technical-Charles McCann Vocational Technical,08510605,93.3,11.6,41.5,20.8,38.3,2017-18,NA,0851,Northern Berkshire Regional Vocational Technical,Charles McCann Vocational Technical,Berkshire,514,514,Yes,0%,Include
Oxford-Oxford Middle,02260405,95.8,7.4,24.7,5.3,15.3,2017-18,NA,0226,Oxford,Oxford Middle,Worcester,385,251,Yes,35%,Include
Oxford-Oxford High,02260505,92.0,13.9,45.6,21.4,38.8,2017-18,NA,0226,Oxford,Oxford High,Worcester,453,405,Yes,10%,Include
Palmer-Palmer High,02270505,94.4,9.6,29.2,14.0,14.7,2017-18,NA,0227,Palmer,Palmer High,Hampden,416,414,Yes,0%,Include
Pathfinder Regional Vocational Technical-Pathfinder Vocational Technical,08600605,95.5,7.7,28.1,5.4,12.0,2017-18,NA,0860,Pathfinder Regional Vocational Technical,Pathfinder Vocational Technical,Hampden,660,660,Yes,0%,Include
Phoenix Academy Public Charter High School Springfield (District)-Phoenix Academy Public Charter High School Springfield,35080505,59.0,53.4,93.0,92.1,54.5,2017-18,NA,3508,"Phoenix Academy Public Charter High School, Springfield (District)","Phoenix Academy Public Charter High School, Springfield",Hampden,158,158,Yes,0%,Include
Pioneer Valley-Pioneer Valley Regional,07500505,95.6,7.7,26.5,9.0,18.3,2017-18,NA,0750,Pioneer Valley,Pioneer Valley Regional,Franklin,239,236,Yes,0%,Include
Pioneer Valley Chinese Immersion Charter (District)-Pioneer Valley Chinese Immersion Charter School,04970205,95.1,8.7,30.3,6.6,5.4,2017-18,NA,0497,Pioneer Valley Chinese Immersion Charter (District),Pioneer Valley Chinese Immersion Charter School,Hampshire,584,255,Yes,56%,Include
Pioneer Valley Performing Arts Charter Public (District)-Pioneer Valley Performing Arts Charter Public School,04790505,93.1,12.0,48.2,18.3,10.8,2017-18,NA,0479,Pioneer Valley Performing Arts Charter Public (District),Pioneer Valley Performing Arts Charter Public School,Hampshire,397,397,Yes,0%,Include
Pittsfield-John T Reid Middle,02360305,91.8,14.2,50.8,28.7,24.1,2017-18,NA,0236,Pittsfield,John T Reid Middle,Berkshire,407,300,Yes,26%,Include
Pittsfield-Theodore Herberg Middle,02360310,93.7,10.9,39.2,18.3,14.7,2017-18,NA,0236,Pittsfield,Theodore Herberg Middle,Berkshire,587,400,Yes,32%,Include
Pittsfield-Pittsfield High,02360505,90.9,15.8,49.7,30.9,26.6,2017-18,NA,0236,Pittsfield,Pittsfield High,Berkshire,727,712,Yes,0%,Include
Pittsfield-Taconic High,02360510,90.8,15.8,55.5,31.0,27.0,2017-18,NA,0236,Pittsfield,Taconic High,Berkshire,824,824,Yes,0%,Include
Quabbin-Quabbin Regional Middle School,07530405,94.8,9.1,28.5,14.1,0.0,2017-18,NA,0753,Quabbin,Quabbin Regional Middle School,Worcester,510,346,Yes,32%,Include
Quabbin-Quabbin Regional High School,07530505,93.5,10.9,38.4,17.6,22.4,2017-18,NA,0753,Quabbin,Quabbin Regional High School,Worcester,545,542,Yes,0%,Include
Quaboag Regional-Quaboag Regional Middle Innovation School,07780305,94.2,10.0,41.1,16.2,25.7,2017-18,NA,0778,Quaboag Regional,Quaboag Regional Middle Innovation School,Worcester,196,196,Yes,0%,Include
Quaboag Regional-Quaboag Regional High,07780505,93.7,10.8,46.5,16.6,30.5,2017-18,NA,0778,Quaboag Regional,Quaboag Regional High,Worcester,334,334,Yes,0%,Include
Ralph C Mahar-Ralph C Mahar Regional,07550505,94.6,9.3,34.0,11.3,1.7,2017-18,NA,0755,Ralph C Mahar,Ralph C Mahar Regional,Franklin,509,509,Yes,0%,Include
Sabis International Charter (District)-Sabis International Charter School,04410505,95.7,7.6,27.7,8.8,13.0,2017-18,NA,0441,Springfield International Charter (District),Springfield International Charter School,Hampden,1511,711,Yes,53%,Include
Shrewsbury-Shrewsbury Sr High,02710505,92.2,13.6,71.0,16.9,0.1,2017-18,NA,0271,Shrewsbury,Shrewsbury High School,Worcester,1891,1869,Yes,0%,Include
Shrewsbury-Oak Middle School,02710030,96.0,7.1,24.0,8.0,0.0,2017-18,NA,0271,Shrewsbury,Oak Middle School,Worcester,914,914,Yes,0%,Include
Sizer School: A North Central Charter Essential (District)-Sizer School: A North Central Charter Essential School,04740505,93.2,11.3,45.2,22.6,12.5,2017-18,NA,0474,Sizer School: A North Central Charter Essential (District),Sizer School: A North Central Charter Essential School,Worcester,282,282,Yes,0%,Include
South Hadley-Michael E. Smith Middle School,02780305,94.8,9.2,27.9,12.1,10.3,2017-18,NA,0278,South Hadley,Michael E. Smith Middle School,Hampshire,505,244,Yes,52%,Include
South Hadley-South Hadley High,02780505,93.5,11.5,41.8,20.2,0.0,2017-18,NA,0278,South Hadley,South Hadley High,Hampshire,479,475,Yes,0%,Include
Southborough-P Brent Trottier,02760305,96.2,6.8,20.9,4.7,0.0,2017-18,NA,0276,Southborough,P Brent Trottier,Worcester,404,274,Yes,32%,Include
Southbridge-Southbridge High School,02770515,86.8,21.3,67.9,45.1,58.6,2017-18,NA,0277,Southbridge,Southbridge High School,Worcester,419,419,Yes,0%,Include
Southbridge-Southbridge Middle School,02770315,92.6,12.2,45.2,22.6,34.8,2017-18,NA,0277,Southbridge,Southbridge Middle School,Worcester,380,276,Yes,27%,Include
Southern Berkshire-Mt Everett Regional,07650505,94.1,10.2,34.8,16.3,9.6,2017-18,NA,0765,Southern Berkshire,Mt Everett Regional,Berkshire,278,236,Yes,15%,Include
Southern Worcester County Regional Vocational Technical-Bay Path Regional Vocational Technical High School,08760605,95.3,8.2,27.7,7.7,0.0,2017-18,NA,0876,Southern Worcester County Regional Vocational School District,Bay Path Regional Vocational Technical High School,Worcester,1188,1188,Yes,0%,Include
Southwick-Tolland-Granville Regional School District-Southwick Regional School,07660505,94.7,9.3,38.8,11.3,27.9,2017-18,NA,0766,Southwick-Tolland-Granville Regional School District,Southwick Regional School,Hampden,588,587,Yes,0%,Include
Spencer-E Brookfield-Knox Trail Middle School,07670415,94.8,9.0,38.8,13.3,0.0,2017-18,NA,0767,Spencer-E Brookfield,Knox Trail Middle School,Worcester,415,223,Yes,46%,Include
Spencer-E Brookfield-David Prouty High,07670505,90.6,15.7,54.0,29.1,0.0,2017-18,NA,0767,Spencer-E Brookfield,David Prouty High,Worcester,306,299,Yes,0%,Include
Springfield-High School Of Commerce,02810510,91.0,14.2,49.9,31.0,0.0,2017-18,NA,0281,Springfield,High School Of Commerce,Hampden,966,966,Yes,0%,Include
Springfield-Springfield High School of Science and Technology,02810530,92.7,12.0,40.8,23.3,0.1,2017-18,NA,0281,Springfield,Springfield High School of Science and Technology,Hampden,1091,1091,Yes,0%,Include
Springfield-Springfield Public Day High School,02810550,71.0,43.0,89.2,81.4,76.5,2017-18,NA,0281,Springfield,Springfield Public Day High School,Hampden,65,65,Yes,0%,Include
Springfield-Liberty Preparatory Academy,02810560,86.6,7.8,26.7,46.7,13.3,2017-18,NA,0281,Springfield,Liberty Preparatory Academy,Hampden,6,6,Yes,0%,Include
Springfield-Springfield High School,02810570,75.8,30.3,69.7,66.9,1.6,2017-18,NA,0281,Springfield,Springfield High School,Hampden,237,237,Yes,0%,Include
Springfield-Gateway to College at Holyoke Community College,02810575,88.0,18.0,76.9,46.2,69.2,2017-18,NA,0281,Springfield,Gateway to College at Holyoke Community College,Hampden,21,21,Yes,0%,Include
Springfield-Gateway to College at Springfield Technical Community College,02810580,76.4,29.5,83.3,81.3,0.0,2017-18,NA,0281,Springfield,Gateway to College at Springfield Technical Community College,Hampden,25,25,Yes,0%,Include
Springfield-Roger L. Putnam Vocational Technical Academy,02810620,94.4,9.9,38.5,15.7,0.0,2017-18,NA,0281,Springfield,Roger L. Putnam Vocational Technical Academy,Hampden,1382,1382,Yes,0%,Include
Springfield-Springfield Central High,02810500,92.5,12.9,43.3,24.4,0.0,2017-18,NA,0281,Springfield,Springfield Central High,Hampden,1983,1983,Yes,0%,Include
Springfield-Van Sickle Academy,02810485,91.3,14.7,51.8,27.8,0.0,2017-18,NA,0281,Springfield,Van Sickle Academy,Hampden,262,180,Yes,31%,Include
Springfield-Rise Academy at Van Sickle,02810480,93.5,10.5,38.0,22.4,0.0,2017-18,NA,0281,Springfield,Van Sickle Prep,Hampden,206,134,Yes,35%,Include
